PN,a test          
CD,01000
MP,1
LB,0162
TC,0163
VA, 1,0004
VR, 1,0005
VA, 2,0006
VR, 2,0007
VA, 3,0008
VR, 3,0009
VA, 4,0010
VR, 4,0011
VA, 5,0012
VR, 5,0013
VA, 6,0014
VR, 6,0015
VA, 7,0016
VR, 7,0017
VA, 8,0018
VR, 8,0019
VA, 9,0020
VR, 9,0021
VA,10,0022
VR,10,0023
VA,11,0024
VR,11,0025
VA,12,0026
VR,12,0027
VA,13,0028
VR,13,0029
VA,14,0030
VR,14,0031
VA,15,0032
VR,15,0033
VA,16,0034
VR,16,0035
VA,17,0036
VR,17,0037
VA,18,0038
VR,18,0039
VA,19,0040
VR,19,0041
VA,20,0042
VR,20,0043
VA,21,0044
VR,21,0045
VA,22,0046
VR,22,0047
VA,23,0048
VR,23,0049
VA,24,0050
VR,24,0051
VA,25,0052
VR,25,0053
VA,26,0054
VR,26,0055
VA,27,0056
VR,27,0057
VA,28,0058
VR,28,0059
VA,29,0060
VR,29,0061
VA,30,0062
VR,30,0063
VA,31,0064
VR,31,0065
VA,32,0066
VR,32,0067
VA,33,0068
VR,33,0069
VA,34,0070
VR,34,0071
VA,35,0072
VR,35,0073
VA,36,0074
VR,36,0075
VA,37,0076
VR,37,0077
VA,38,0078
VR,38,0079
VA,39,0080
VR,39,0081
VA,40,0082
VR,40,0083
VA,41,0084
VR,41,0085
VA,42,0086
VR,42,0087
VA,43,0088
VR,43,0089
VA,44,0090
VR,44,0091
VA,45,0092
VR,45,0093
VA,46,0094
VR,46,0095
VA,47,0096
VR,47,0097
VA,48,0098
VR,48,0099
VA,49,0100
VR,49,0101
VA,50,0102
VR,50,0103
VA,51,0104
VR,51,0105
VA,52,0106
VR,52,0107
VA,53,0108
VR,53,0109
VA,54,0110
VR,54,0111
VA,55,0112
VR,55,0113
VA,56,0114
VR,56,0115
VA,57,0116
VR,57,0117
VA,58,0118
VR,58,0119
VA,59,0120
VR,59,0121
VA,60,0122
VR,60,0123
VA,61,0124
VR,61,0125
VA,62,0126
VR,62,0127
VA,63,0128
VR,63,0129
VA,64,0130
VR,64,0131
VA,65,0132
VR,65,0133
VA,66,0134
VR,66,0135
VA,67,0136
VR,67,0137
VA,68,0138
VR,68,0139
VA,69,0140
VR,69,0141
VA,70,0142
VR,70,0143
VA,71,0144
VR,71,0145
VA,72,0146
VR,72,0147
VA,73,0148
VR,73,0149
VA,74,0150
VR,74,0151
VA,75,0152
VR,75,0153
VA,76,0154
VR,76,0155
VA,77,0156
VR,77,0157
VA,78,0158
VR,78,0159
VA,79,0160
VR,79,0161
VA,80,0162
VR,80,0163
